,val_updated,date_,event_type
302,2018-10-09 21:24:36.181925+00:00,2018-10-09 21:24:36.181925+00:00,7
303,2018-09-13 23:34:03.598820+00:00,2018-10-09 21:25:19.490377+00:00,5
304,2018-10-09 21:25:37.875981+00:00,2018-10-09 21:25:37.875980+00:00,7
305,2018-10-09 21:25:37.962887+00:00,2018-10-09 21:25:37.962886+00:00,7
306,2018-10-09 21:25:42.574243+00:00,2018-10-09 21:25:42.574242+00:00,5
307,2018-10-09 17:46:40.951193+00:00,2018-10-09 21:25:56.332355+00:00,7
308,2018-10-09 21:26:30.909715+00:00,2018-10-09 21:26:30.909715+00:00,1
309,2018-10-09 21:26:43.024672+00:00,2018-10-09 21:26:43.024671+00:00,7
310,2018-10-09 21:27:36.462832+00:00,2018-10-09 21:27:36.462831+00:00,5
311,2018-10-09 21:27:36.470149+00:00,2018-10-09 21:27:36.470149+00:00,5
312,2018-10-09 21:27:48.641596+00:00,2018-10-09 21:27:48.641596+00:00,5
313,2018-10-09 21:27:55.790394+00:00,2018-10-09 21:27:55.790393+00:00,1
314,2018-10-09 21:29:33.233900+00:00,2018-10-09 21:29:33.233900+00:00,7
315,2018-10-09 21:30:40.115317+00:00,2018-10-09 21:30:40.115316+00:00,7
